Date/Time,Mouse Position
2023-06-17 20:45:21.200681,"(1197, 141)"
2023-06-17 20:45:21.220628,"(1197, 139)"
2023-06-17 20:45:21.241571,"(1197, 137)"
2023-06-17 20:45:21.261518,"(1197, 136)"
2023-06-17 20:45:21.858920,"(1196, 137)"
2023-06-17 20:45:21.879864,"(1194, 144)"
2023-06-17 20:45:21.900808,"(1193, 153)"
2023-06-17 20:45:21.921752,"(1193, 168)"
2023-06-17 20:45:21.942696,"(1193, 187)"
2023-06-17 20:45:21.962631,"(1193, 199)"
2023-06-17 20:45:21.984161,"(1193, 216)"
2023-06-17 20:45:22.004143,"(1195, 223)"
2023-06-17 20:45:22.025086,"(1197, 225)"
2023-06-17 20:45:22.045036,"(1199, 228)"
2023-06-17 20:45:22.066270,"(1200, 229)"
2023-06-17 20:45:22.105167,"(1207, 236)"
2023-06-17 20:45:22.125114,"(1208, 236)"
2023-06-17 20:45:22.145060,"(1209, 237)"
2023-06-17 20:45:22.352506,"(1208, 237)"
2023-06-17 20:45:23.948643,"(1207, 241)"
2023-06-17 20:45:23.970618,"(1206, 242)"
2023-06-17 20:45:23.992546,"(1202, 249)"
2023-06-17 20:45:24.013507,"(1199, 256)"
2023-06-17 20:45:24.034414,"(1196, 270)"
2023-06-17 20:45:24.054397,"(1194, 284)"
2023-06-17 20:45:24.075338,"(1194, 293)"
2023-06-17 20:45:24.096283,"(1188, 315)"
2023-06-17 20:45:24.116229,"(1183, 326)"
2023-06-17 20:45:24.137174,"(1177, 340)"
2023-06-17 20:45:24.157088,"(1172, 347)"
2023-06-17 20:45:24.178030,"(1171, 351)"
2023-06-17 20:45:24.198973,"(1171, 354)"
2023-06-17 20:45:24.218943,"(1171, 355)"
2023-06-17 20:45:24.239897,"(1171, 356)"
2023-06-17 20:45:24.259811,"(1171, 357)"
2023-06-17 20:45:24.299704,"(1172, 358)"
2023-06-17 20:45:24.326632,"(1173, 358)"
2023-06-17 20:45:24.328627,"(1174, 359)"
2023-06-17 20:45:24.350568,"(1176, 360)"
2023-06-17 20:45:24.371512,"(1179, 361)"
2023-06-17 20:45:24.392456,"(1181, 362)"
2023-06-17 20:45:24.413400,"(1186, 363)"
2023-06-17 20:45:24.434344,"(1189, 364)"
2023-06-17 20:45:24.455288,"(1191, 365)"
2023-06-17 20:45:24.477229,"(1192, 366)"
2023-06-17 20:45:24.497176,"(1193, 366)"
2023-06-17 20:45:24.816356,"(1194, 367)"
