Date/Time,Mouse Position
2023-06-24 01:23:09.107993,"(315, 448)"
2023-06-24 01:23:09.134130,"(321, 448)"
2023-06-24 01:23:09.160174,"(335, 448)"
2023-06-24 01:23:09.186836,"(376, 448)"
2023-06-24 01:23:09.214747,"(425, 447)"
2023-06-24 01:23:09.241696,"(524, 447)"
2023-06-24 01:23:09.274222,"(679, 448)"
2023-06-24 01:23:09.312216,"(799, 448)"
2023-06-24 01:23:09.339215,"(820, 448)"
2023-06-24 01:23:09.392283,"(820, 449)"
2023-06-24 01:23:09.811091,"(819, 449)"
2023-06-24 01:23:10.012814,"(819, 448)"
2023-06-24 01:23:10.039817,"(816, 447)"
2023-06-24 01:23:10.064814,"(813, 444)"
2023-06-24 01:23:10.092869,"(810, 442)"
2023-06-24 01:23:10.119923,"(808, 441)"
2023-06-24 01:23:10.169918,"(807, 441)"
2023-06-24 01:23:10.195917,"(807, 440)"
2023-06-24 01:23:10.222921,"(805, 439)"
2023-06-24 01:23:10.248918,"(803, 437)"
2023-06-24 01:23:10.286031,"(802, 436)"
2023-06-24 01:23:10.497027,"(803, 436)"
2023-06-24 01:23:10.737878,"(801, 436)"
2023-06-24 01:23:10.747918,"(799, 436)"
2023-06-24 01:23:10.754876,"(798, 435)"
2023-06-24 01:23:10.760878,"(797, 435)"
2023-06-24 01:23:10.771876,"(795, 434)"
2023-06-24 01:23:10.777879,"(791, 433)"
2023-06-24 01:23:10.785883,"(788, 433)"
2023-06-24 01:23:10.794916,"(785, 432)"
2023-06-24 01:23:10.804915,"(778, 431)"
2023-06-24 01:23:10.810920,"(773, 430)"
2023-06-24 01:23:10.817879,"(767, 428)"
2023-06-24 01:23:10.827876,"(759, 427)"
2023-06-24 01:23:10.833915,"(754, 426)"
2023-06-24 01:23:10.840877,"(749, 425)"
2023-06-24 01:23:10.849879,"(742, 424)"
2023-06-24 01:23:10.857877,"(739, 424)"
2023-06-24 01:23:10.866877,"(737, 423)"
2023-06-24 01:23:10.874878,"(734, 422)"
2023-06-24 01:23:11.494480,"(737, 421)"
2023-06-24 01:23:11.521827,"(756, 420)"
2023-06-24 01:23:11.547836,"(806, 428)"
2023-06-24 01:23:11.574804,"(928, 448)"
2023-06-24 01:23:11.600867,"(1141, 490)"
