Time,Mouse Position
2023-05-20 22:03:19.645795,"(1206, 604)"
2023-05-20 22:03:19.917459,"(1206, 604)"
2023-05-20 22:03:20.169837,"(1206, 604)"
2023-05-20 22:03:21.972329,"(1194, 244)"
2023-05-20 22:03:25.332367,"(1196, 251)"
2023-05-20 22:03:28.636440,"(1192, 248)"
2023-05-20 22:03:31.411098,"(902, 247)"
2023-05-20 22:03:31.597599,"(902, 247)"
2023-05-20 22:03:31.759205,"(902, 248)"
2023-05-20 22:03:32.719863,"(1182, 726)"
2023-05-20 22:03:38.200223,"(1194, 493)"
2023-05-20 22:03:38.547292,"(1194, 493)"
2023-05-20 22:03:39.357908,"(1200, 492)"
2023-05-20 22:03:40.867729,"(1201, 618)"
2023-05-20 22:03:41.173962,"(1201, 617)"
2023-05-20 22:03:41.427313,"(1201, 617)"
2023-05-20 22:03:41.774165,"(1201, 617)"
2023-05-20 22:03:42.658629,"(1191, 725)"
Time,Mouse Position
2023-05-20 22:25:53.679286,"(479, 251)"
2023-05-20 22:25:54.520561,"(1173, 725)"
2023-05-20 22:25:57.056028,"(368, 438)"
2023-05-20 22:25:58.560493,"(1147, 719)"
2023-05-20 22:26:03.555271,"(1167, 732)"
2023-05-20 22:26:07.551372,"(1141, 723)"
2023-05-20 22:26:08.244193,"(1144, 723)"
2023-05-20 22:26:09.007764,"(1149, 723)"
2023-05-20 22:26:09.839466,"(1149, 723)"
2023-05-20 22:26:11.713719,"(1152, 724)"
2023-05-20 22:26:12.880163,"(1153, 724)"
2023-05-20 22:26:13.189335,"(1152, 724)"
2023-05-20 22:26:13.436622,"(1152, 724)"
2023-05-20 22:26:13.647562,"(1152, 724)"
2023-05-20 22:26:13.885367,"(1152, 724)"
2023-05-20 22:26:14.142655,"(1152, 724)"
2023-05-20 22:26:15.318994,"(1152, 725)"
2023-05-20 22:26:15.893641,"(1152, 725)"
2023-05-20 22:26:17.447915,"(1154, 726)"
2023-05-20 22:26:17.945536,"(1154, 726)"
2023-05-20 22:26:19.926757,"(1183, 236)"
2023-05-20 22:26:20.307889,"(1183, 236)"
2023-05-20 22:26:21.535676,"(1197, 730)"
2023-05-20 22:26:27.943470,"(1223, 254)"
2023-05-20 22:26:29.612142,"(1187, 615)"
2023-05-20 22:26:30.042546,"(1187, 615)"
2023-05-20 22:26:30.572498,"(1187, 613)"
2023-05-20 22:26:31.127523,"(1187, 613)"
2023-05-20 22:26:31.602360,"(1187, 613)"
2023-05-20 22:26:32.780300,"(1191, 724)"
2023-05-20 22:26:37.613069,"(1188, 602)"
2023-05-20 22:26:38.201643,"(1189, 602)"
2023-05-20 22:26:39.814424,"(1190, 602)"
2023-05-20 22:26:41.460508,"(1188, 495)"
2023-05-20 22:26:43.680352,"(1201, 127)"
2023-05-20 22:26:44.745957,"(1181, 720)"
2023-05-20 22:26:47.746211,"(1207, 244)"
2023-05-20 22:26:48.867595,"(1203, 248)"
2023-05-20 22:26:49.975498,"(1204, 382)"
2023-05-20 22:26:50.526115,"(1204, 382)"
2023-05-20 22:26:53.309728,"(1204, 382)"
2023-05-20 22:26:54.778834,"(1147, 714)"
2023-05-20 22:27:29.231044,"(1198, 122)"
2023-05-20 22:27:29.785073,"(1199, 122)"
2023-05-20 22:27:31.573872,"(1200, 122)"
2023-05-20 22:27:32.531375,"(1200, 121)"
2023-05-20 22:27:33.566188,"(1200, 121)"
2023-05-20 22:27:34.933135,"(1201, 375)"
2023-05-20 22:27:36.078062,"(1161, 712)"
2023-05-20 22:27:38.962448,"(1204, 483)"
2023-05-20 22:27:39.538190,"(1204, 484)"
2023-05-20 22:27:40.246678,"(1209, 378)"
2023-05-20 22:27:40.682511,"(1207, 367)"
2023-05-20 22:27:42.682196,"(1191, 251)"
2023-05-20 22:27:47.450848,"(1192, 727)"
2023-05-20 22:27:49.551135,"(1206, 606)"
2023-05-20 22:27:50.673543,"(1206, 611)"
2023-05-20 22:27:51.252029,"(1206, 611)"
